,image_link,artists,art_movement,title,jpeg,height,width
0,https://www.copia-di-arte.com/a/scuola-inglese/three-prize-pigs-outside.html, Scuola Inglese(18th century ),Arte Vittoriana,Three Prize Pigs outside a Sty,https://www.copia-di-arte.com/kunst/english_school/Three-Prize-Pigs-outside-a-Sty-English-School.jpg,396,480
1,https://www.copia-di-arte.com/a/chardin-jean-baptiste/chardinthebilliardmatch-2.html,Jean-Baptiste Siméon Chardin(1699  - 1779),Romanticismo,Chardin / The Billiard Match,https://www.copia-di-arte.com/kunst/noartist/c/chardin__the_billiard_match.jpg,315,480
2,https://www.copia-di-arte.com/a/feuerbach-anselm/paoloundfrancesca-3.html,Anselm Feuerbach(1829  - 1880),Classicismo,Paolo und Francesca(Um 1864),https://www.copia-di-arte.com/kunst/anselm_feuerbach_807/paolo_und_francesca.jpg,400,305
3,https://www.copia-di-arte.com/a/rembrandt-van-rijn/portrtvonmargarethadegeerfraudesjacobstrip.html,Rembrandt van Rijn(1606  - 1669),Barocco,"Portrait of Margaretha de Geer, Wife of Jacob Trip(1661)",https://www.copia-di-arte.com/kunst/rembrandt_hamerszoon_van_rijn/portraet_von_margaretha_de_gee.jpg,589,483
4,https://www.copia-di-arte.com/a/ernst-ludwig-kirchner/interno.html,Ernst Ludwig Kirchner(1880  - 1938),Espressionismo,Interno(1914),https://www.copia-di-arte.com/kunst/ernst_ludwig_kirchner/interieur.jpg,417,480
5,https://www.copia-di-arte.com/a/claude-joseph-vernet/the-ponte-rotto-rome.html,Claude Joseph Vernet(1714  - 1789),Classicismo,"The Ponte Rotto, Rome",https://www.copia-di-arte.com/kunst/claude_joseph_vernet/ponte_rotto_rome_xir221408_hi.jpg,184,360
6,https://www.copia-di-arte.com/a/ernst-ludwig-kirchner/pista-da-gioco-nella-neve.html,Ernst Ludwig Kirchner(1880  - 1938),Espressionismo,Pista da gioco nella neve(1924/26),https://www.copia-di-arte.com/kunst/ernst_ludwig_kirchner/1004672_.jpg,419,480
7,https://www.copia-di-arte.com/a/pierre-auguste-renoir/zweimdchenamklavier.html,Pierre-Auguste Renoir(1841  - 1919),Post-impressionismo,Young Girls at the Piano(1892),https://www.copia-di-arte.com/kunst/pierre_auguste_renoir/zwei_maedchen_am_klavier-1.jpg,589,453
8,https://www.copia-di-arte.com/a/seligman/manandchildii-1.html,Lincoln  Seligman,Arte concreta figurativa,Man and Child II,https://www.copia-di-arte.com/kunst/lincoln_seligman/man_and_child_ii.jpg,440,324
9,https://www.copia-di-arte.com/a/gruenewald-mathias/the-st-antonius-abad-side.html,Mathias (Mathis Gothart) Grünewald(um 1475  - 1528),Rinascimento,The St. Antonius Abad. Side wing of the Isenheimer altar.,https://www.copia-di-arte.com/kunst/mathias_mathis_gothart_gruenew/hl_antonius_abad_seitenfluege_hi.jpg,226,72
10,https://www.copia-di-arte.com/a/lovis-corinth/eduard-krueger.html,Lovis Corinth(1858  - 1925),Espressionismo,Eduard Krüger(1912),https://www.copia-di-arte.com/kunst/lovis_corinth/eduard-krueger_corinth.jpg,480,385
11,https://www.copia-di-arte.com/a/jacques-louis-david/portraitofalphonseleroy.html,Jacques Louis David(1748  - 1825),Classicismo,Portrait of Alphonse Leroy,https://www.copia-di-arte.com/kunst/jacques_louis_david/portrait_of_alphonse_leroy.jpg,343,440
12,https://www.copia-di-arte.com/a/william-turner/wturnersailorsgettingpigs.html,William Turner(1775  - 1851),Romanticismo,"W.Turner, Sailors Getting Pigs on Board",https://www.copia-di-arte.com/kunst/noartist/w/wturner_sailors_getting_pigs_o.jpg,376,480
13,https://www.copia-di-arte.com/a/jean-louis-gericault/marie-de-medici-in-pont-d.html,Jean Louis Théodore Géricault(1791  - 1824),Romanticismo,Marie de Medici in Pont-de Ce(1810),https://www.copia-di-arte.com/kunst/jean_louis_theodore_gericault_835/marie_de_medici_pont_ce_hi.jpg,360,282
14,https://www.copia-di-arte.com/a/travers/rockconcerttall.html,Michael Travers,Arte Figurativa astratta,rock concert tall,https://www.copia-di-arte.com/kunst/michael_travers/rock_concert_tall_hi.jpg,320,226
15,https://www.copia-di-arte.com/a/william-blake/iisaak-newton.html,William Blake(1757  - 1827),Arte Vittoriana,IIsaak Newton(1795),https://www.copia-di-arte.com/kunst/william_blake/blake_newton.jpg,362,480
