,image_link,artists,art_movement,title,jpeg,height,width
0,https://www.copia-di-arte.com/a/franz-marc/dancer.html,Franz Marc(1880  - 1916),Espressionismo,Dancer(1913),https://www.copia-di-arte.com/kunst/franz_marc_727/1004509.jpg,276,440
1,https://www.copia-di-arte.com/a/egon-schiele/portrait-erich-lederer.html,Egon Schiele(1890  - 1918),Espressionismo,Portrait Erich Lederer(1912),https://www.copia-di-arte.com/kunst/egon_schiele/egon_schiele_erich_lederer.jpg,480,189
2,https://www.copia-di-arte.com/a/armitage-1/dianthusandscabious.html,Karen  Armitage,Arte concreta figurativa,Dianthus and scabious ,https://www.copia-di-arte.com/kunst/karen_armitage/dianthus_and_scabious.jpg,433,324
3,https://www.copia-di-arte.com/a/flohic-philippe/nude-8.html,Philippe Flohic(1966 ),Arte concreta figurativa,Nude 8(2005),https://www.copia-di-arte.com/kunst/philippe_flohic/nu8.jpg,400,283
4,https://www.copia-di-arte.com/a/david-teniers/bauernkirmes.html,David Teniers(1610  - 1690),Barocco,(Um 1665),https://www.copia-di-arte.com/kunst/david_teniers/bauernkirmes.jpg,471,640
5,https://www.copia-di-arte.com/a/paul-gauguin/oviri-3.html,Paul Gauguin(1848  - 1903),Post-impressionismo,,https://www.copia-di-arte.com/kunst/paul_gauguin/oviri.jpg,480,336
6,https://www.copia-di-arte.com/a/paul-cezanne/mdchenamklaviertannhuser-ouvertre.html,Paul Cézanne(1839  - 1906),Impressionismo,Girl at the Piano (Overture to Tannhauser),https://www.copia-di-arte.com/kunst/paul_cezanne/maedchen_am_klavier_tannhaeuse.jpg,409,589
7,https://www.copia-di-arte.com/a/wassily-kandinsky/kleineweltenviii.html,Wassily Kandinsky(16. Dezember 1866  - 13. Dezember 1944),Espressionismo,Small Worlds VIII(1922),https://www.copia-di-arte.com/kunst/noartist/k/kleine_welten_viii.jpg,582,455
8,https://www.copia-di-arte.com/a/ernst-ludwig-kirchner/japanischestheater.html,Ernst Ludwig Kirchner(1880  - 1938),Espressionismo,,https://www.copia-di-arte.com/kunst/ernst_ludwig_kirchner//Japanisches-Theater.jpg,480,476
9,https://www.copia-di-arte.com/a/linke/ophelia-udo-linke.html,Udo Linke(1957 ),Arte Figurativa astratta,Ophelia(2019),https://www.copia-di-arte.com/kunst/udo/Ophelia.jpg,600,800
10,https://www.copia-di-arte.com/a/nicolas-poussin/maryappearstojamesthegrea.html,Nicolas Poussin(1594  - 1665),Classicismo,Mary appears to James the Great/ Poussin,https://www.copia-di-arte.com/kunst/noartist/m/mary_appears_to_james_the_grea.jpg,480,381
11,https://www.copia-di-arte.com/a/lovis-corinth/italienierinimgelbenstuhl.html,Lovis Corinth(1858  - 1925),Espressionismo,,https://www.copia-di-arte.com/kunst/lovis_corinth/italienierinimgelbenstuhl.jpg,480,367
12,https://www.copia-di-arte.com/a/charles-le-brun/similarities-between-the.html,Charles Le Brun(1619  - 1690),Barocco,"Similarities Between the Head of a Wolf and a Man, from 'Livre de portraiture pour ceux qui commence",https://www.copia-di-arte.com/kunst/charles_le_brun_3666/similarities_head_wolf_man_li_hi.jpg,489,360
13,https://www.copia-di-arte.com/a/jacob-philipp-hackert/pompejiausgrabungen.html,Jacob Philipp Hackert(1737  - 1807),Classicismo,,https://www.copia-di-arte.com/kunst/jacob_philipp_hackert/pompejiausgrabungen.jpg,339,480
14,https://www.copia-di-arte.com/a/dean-1/head2000wconhandmadeindia.html,Graham  Dean,Arte astratta figurativa,"Head, 2000 (w/c on handmade Indian paper) ",https://www.copia-di-arte.com/kunst/graham_dean//Head.jpg,480,370
15,https://www.copia-di-arte.com/a/pierre-joseph-redoute/rosa-indica-vulgaris-engr.html,Pierre Joseph Redouté(1759  - 1840),Classicismo,"Rosa Indica Vulgaris, engraved by Bessin, from 'Les Roses', Vol II(1821 oured)",https://www.copia-di-arte.com/kunst/pierre_joseph_redoute/rosa_indica_vulgaris_engraved_hi.jpg,543,360
16,https://www.copia-di-arte.com/a/egon-schiele/portrtdeskomponistenarthurlwenstein.html,Egon Schiele(1890  - 1918),Espressionismo,Portrait of the composer Arthur Löwenstein(1909),https://www.copia-di-arte.com/kunst/egon_schiele/arthur-loewenstein.jpg,480,480
