,image_link,artists,art_movement,title,jpeg,height,width
0,https://www.copia-di-arte.com/a/easton/shadedpotsoiloncanvas.html,Timothy  Easton,Arte concreta figurativa,Shaded Pots (oil on canvas) ,https://www.copia-di-arte.com/kunst/timothy_easton_1/shaded_pots_oil_on_canvas.jpg,440,366
1,https://www.copia-di-arte.com/a/modersohn-becker-paula-1/stehendermdchenakt.html,Paula Modersohn-Becker(1876  - 1907),Espressionismo,,https://www.copia-di-arte.com/kunst/paula_modersohn_becker_87/stehender-maedchenakt.jpg,480,240
2,https://www.copia-di-arte.com/a/peter-paul-rubens/the-medici-cycle-henri-iv-1.html,Peter Paul Rubens(1577  - 1640),Barocco,The Medici Cycle: Henri IV (1553-1610) leaving for the war in Germany and bestowing the government o(1621-25),https://www.copia-di-arte.com/kunst/peter_paul_rubens/medici_cycle_henri_iv_1553_16__hi.jpg,452,360
3,https://www.copia-di-arte.com/a/willis-2/girlsweepingii2002oilcanv.html,Tilly  Willis,Arte astratta figurativa,"Girl Sweeping II, 2002 (oil canvas) (see also 188679, 188681) ",https://www.copia-di-arte.com/kunst/tilly_willis_1/girl_sweeping_ii_2002_oil_canv.jpg,440,297
4,https://www.copia-di-arte.com/a/chardin-jean-baptiste/still-life-with-pestle-bo.html,Jean-Baptiste Siméon Chardin(1699  - 1779),Romanticismo,"Still life with pestle, bowl, two onions, pan and knife(1734?)",https://www.copia-di-arte.com/kunst/jean_baptiste_simeon_chardin/6470001.jpg,375,480
5,https://www.copia-di-arte.com/a/jean-auguste-ingres/head-of-jupiter-study-for.html,Jean Auguste Dominique Ingres(1780  - 1867),Classicismo,"Head of Jupiter, study for Jupiter and Thetis(1810)",https://www.copia-di-arte.com/kunst/jean_auguste_dominique_ingres_30/head_jupiter_study_thetis_hi.jpg,451,360
6,https://www.copia-di-arte.com/a/william-turner/rainsteamandspeedthegreat-1.html,William Turner(1775  - 1851),Romanticismo,"Rain Steam and Speed, The Great Western Railway, painted before 1844",https://www.copia-di-arte.com/kunst/josephmallordwilliam_turner//Rain-Steam-and-Speed.jpg,355,480
7,https://www.copia-di-arte.com/a/peter-paul-rubens/bacchanal-3.html,Peter Paul Rubens(1577  - 1640),Barocco,Bacchanal,https://www.copia-di-arte.com/kunst/peter_paul_rubens/bacchanal_xam69094_hi.jpg,272,360
8,https://www.copia-di-arte.com/a/bonnard-pierre/schminktisch_mit_spi.html,Pierre Bonnard(1867  - 1947),Post-impressionismo,Dressing Table with Mirror,https://www.copia-di-arte.com/kunst/pierre_bonnard/schminktisch_mit_spiegel.jpg,800,704
9,https://www.copia-di-arte.com/a/claude-joseph-vernet/marina.html,Claude Joseph Vernet(1714  - 1789),Classicismo,Marina,https://www.copia-di-arte.com/kunst/claude_joseph_vernet/marina_hi.jpg,193,360
