,image_link,artists,art_movement,title
0,https://www.copia-di-arte.com/a/pierre-joseph-redoute/periwinkleredout-2.html,Pierre Joseph Redouté(1759  - 1840),Classicismo,Periwinkle / Redouté
1,https://www.copia-di-arte.com/a/lovis-corinth/study-of-two-male-figures.html,Lovis Corinth(1858  - 1925),Espressionismo,Study of two male figures
2,https://www.copia-di-arte.com/a/sir-anthonis-van-dyck/hallow-hieronymus.html,Sir Anthonis van Dyck(1599  - 1641),Barocco,Hallow Hieronymus
3,https://www.copia-di-arte.com/a/ernst-ludwig-kirchner/zweibadendeamstrand.html,Ernst Ludwig Kirchner(1880  - 1938),Espressionismo,
4,https://www.copia-di-arte.com/a/caspar-david-friedrich/kstenlandschabend.html,Caspar David Friedrich(1774  - 1840),Romanticismo,Coastal landscape
5,https://www.copia-di-arte.com/a/bonnard-pierre/rosa_akt_in_der_bade.html,Pierre Bonnard(1867  - 1947),Post-impressionismo,Pink Nude in the Bathtub(1924)
6,https://www.copia-di-arte.com/a/vincent-van-gogh/the-tavern.html,Vincent van Gogh(1853  - 1890),Impressionismo,The tavern(1886)
7,https://www.copia-di-arte.com/a/slevogt-max/feierabend-4.html,Max Slevogt(1868  - 1932),Impressionismo,Feierabend(1900/01)
8,https://www.copia-di-arte.com/a/peter-paul-rubens/the-birth-of-the-milky-wa.html,Peter Paul Rubens(1577  - 1640),Barocco,The Birth of the Milky Way(1668)
9,https://www.copia-di-arte.com/a/francisco-jose-de-goya-1/witches-sabbath-end-the-b.html,Francisco Jose de Goya(1746  - 1828),Classicismo,(witches' sabbath end the black pictures of the Quinta del Sordo)(1820-1823)
10,https://www.copia-di-arte.com/a/paul-gauguin/tahitianische-fishing-gro.html,Paul Gauguin(1848  - 1903),Post-impressionismo,Tahitianische fishing grooves(1891)
11,https://www.copia-di-arte.com/a/francisco-jose-de-goya-1/the-duchess-of-alb.html,Francisco Jose de Goya(1746  - 1828),Classicismo,The duchess of alb.(1795)
12,https://www.copia-di-arte.com/a/etty-william/allegoricalstudyasketchoi.html,William Etty(1787  - 1849),Classicismo,"Allegorical Study, A Sketch (oil on canvas)(1594)"
13,https://www.copia-di-arte.com/a/scuola-inglese/thetownofmansoulillustrat.html, Scuola Inglese(18th century ),Arte Vittoriana,"The Town of Mansoul, illustration from ''The Holy War'' John Bunyan"
14,https://www.copia-di-arte.com/a/giovanni-paolo-pannini/peasants-amongst-roman-ru.html,Giovanni Paolo Pannini(1691/92  - 1765),Barocco,Peasants Amongst Roman Ruins(1743)
15,https://www.copia-di-arte.com/a/egon-schiele/selbstbildnis-2-46.html,Egon Schiele(1890  - 1918),Espressionismo,
16,https://www.copia-di-arte.com/a/chardin-jean-baptiste/the-water-container.html,Jean-Baptiste Siméon Chardin(1699  - 1779),Romanticismo,The water container(1734)
17,https://www.copia-di-arte.com/a/edgar-degas/beimkmmen-1.html,Edgar Degas(1834  - 1917),Impressionismo,Combing the hair
18,https://www.copia-di-arte.com/a/claude-monet/camille-on-the-beach.html,Claude Monet(1840  - 1926),Impressionismo,Camille on the Beach(1870-71)
19,https://www.copia-di-arte.com/a/chardin-jean-baptiste/quiet-life-with-an-earthe.html,Jean-Baptiste Siméon Chardin(1699  - 1779),Romanticismo,Quiet life with an earthen bowl
20,https://www.copia-di-arte.com/a/scuola-inglese/louis-eustacheude.html, Scuola Inglese(18th century ),Arte Vittoriana,Louis-Eustache Ude
21,https://www.copia-di-arte.com/a/powis-paul/castlemortonacryliconcard.html,Paul Powis,Arte astratta figurativa,Castlemorton (acrylic on card) 
22,https://www.copia-di-arte.com/a/seligman/weddingguestoiloncanvas.html,Lincoln  Seligman,Arte concreta figurativa,Wedding Guest (oil on canvas) 
23,https://www.copia-di-arte.com/a/claude-monet/ninfeeconcoloritenui.html,Claude Monet(1840  - 1926),Impressionismo,Ninfee con colori tenui(Um 1917-25)
24,https://www.copia-di-arte.com/a/bonnard-pierre/die_zwei_hackney_cab.html,Pierre Bonnard(1867  - 1947),Post-impressionismo,The Two Hackney Cabs
25,https://www.copia-di-arte.com/a/easton/beachwalk1994oiloncanvas.html,Timothy  Easton,Arte concreta figurativa,"Beach Walk, 1994 (oil on canvas) "
26,https://www.copia-di-arte.com/a/claude-monet/la-scala.html,Claude Monet(1840  - 1926),Impressionismo,La scala
27,https://www.copia-di-arte.com/a/bonnard-pierre/act-of-a-woman-in-front-o.html,Pierre Bonnard(1867  - 1947),Post-impressionismo,Act of a woman in front of flowered wallpaper
28,https://www.copia-di-arte.com/a/eugene-boudin/seascape-17.html,Eugène Boudin(1824  - 1898),Impressionismo,Seascape(1872)
29,https://www.copia-di-arte.com/a/chardin-jean-baptiste/lesingeantiquaire.html,Jean-Baptiste Siméon Chardin(1699  - 1779),Romanticismo,Le singe antiquaire(1740)
30,https://www.copia-di-arte.com/a/john-singer-sargent/nonchaloir-riposo.html,John Singer Sargent(1856  - 1925),Impressionismo,Nonchaloir (Riposo)
31,https://www.copia-di-arte.com/a/travers/stellaglow.html,Michael Travers,Arte Figurativa astratta,Stella glow
32,https://www.copia-di-arte.com/a/egon-schiele/selbstbildnisalsakt-1.html,Egon Schiele(1890  - 1918),Espressionismo,
33,https://www.copia-di-arte.com/a/andy-warhol-1/elvis-1963-aw-928.html,Andy Warhol(1928  - 1987),Arte Figurativa astratta,"Elvis, 1963  - (AW-928)"
34,https://www.copia-di-arte.com/a/von-schwind-moritz-1/detailofdersaengerkreiswa.html,Moritz von Schwind(1804  - 1871),Romanticismo,"Detail of Der Saengerkreis, Wartburg Castle, c.1845/55"
35,https://www.copia-di-arte.com/a/ende-oliver/chinatown-oliverende.html,Oliver Ende(1977 ),Arte Figurativa astratta,Chinatown
36,https://www.copia-di-arte.com/a/paul-cezanne/medea-6.html,Paul Cézanne(1839  - 1906),Impressionismo,
37,https://www.copia-di-arte.com/a/albrecht-durer/MariaundKindMadonnaandChildDrerAlbrecht.html,Albrecht Duerer(1471  - 1528),Rinascimento,Madonna and Child
38,https://www.copia-di-arte.com/a/willis-2/motherandchild1991oilonca.html,Tilly  Willis,Arte astratta figurativa,"Mother and Child, 1991 (oil on canvas) "
39,https://www.copia-di-arte.com/a/zorn-anders-leonard/weielilien.html,Anders Leonard Zorn(1860  - 1920),Post-impressionismo,White Lilium(1885)
40,https://www.copia-di-arte.com/a/eckersberg-christoffer-wi/jungefrauvoreinemspiegel.html,Christoffer Wilhelm Eckersberg(1783  - 1853),Romanticismo,Morning Toilet(1841)
41,https://www.copia-di-arte.com/a/pierre-auguste-renoir/treppeinalgierslescaliera.html,Pierre-Auguste Renoir(1841  - 1919),Post-impressionismo,"Treppe in Algiers (L'Escalier, Algiers)(Um 1882)"
42,https://www.copia-di-arte.com/a/max-liebermann/artistsnotesonachairinkon.html,Max Liebermann(1847  - 1935),Impressionismo,Artist's notes on a chair (ink on paper) (see 157643)(19th)
43,https://www.copia-di-arte.com/a/gerard-francois-pascal/napoleonbonapartealsersterkonsulderfranzsischenrep-1.html,François Pascal Simon Gérard(1770  - 1837),Classicismo,Portrait of Napoleon Bonaparte as First Consul(1803)
44,https://www.copia-di-arte.com/a/albrecht-durer/diemarterderzehntausendchristen.html,Albrecht Duerer(1471  - 1528),Rinascimento,The Martyrdom of the Ten Thousand(1497)
45,https://www.copia-di-arte.com/a/max-liebermann/hollndischedorfstrae.html,Max Liebermann(1847  - 1935),Impressionismo,Holländische Dorfstraße(1885)
46,https://www.copia-di-arte.com/a/diego-rodriguez-velazquez/portrait-of-the-court-jes.html,Diego Rodriguez de Silva y Velázquez(1599  - 1660),Barocco,Portrait of the court jester Don Diego de Acedo of El Primo.(1644)
47,https://www.copia-di-arte.com/a/edouard-manet/theruemosnierwithworkmen.html,Edouard Manet(1832  - 1883),Impressionismo,The Rue Mosnier with Workmen
48,https://www.copia-di-arte.com/a/william-turner/a-scene-in-bagley-wood-ne.html,William Turner(1775  - 1851),Romanticismo,A Scene in Bagley Wood near Oxford (w/c and bodycolour)
49,https://www.copia-di-arte.com/a/edgar-degas/woman-drying-herself-past.html,Edgar Degas(1834  - 1917),Impressionismo,Woman drying herself (pastel)
50,https://www.copia-di-arte.com/a/sir-john-everett-millais/the-northwest-arcade.html,Sir John Everett Millais(1829  - 1896),Arte Vittoriana,The northwest arcade(1874)
51,https://www.copia-di-arte.com/a/sir-anthonis-van-dyck/portrait-of-the-court-mus.html,Sir Anthonis van Dyck(1599  - 1641),Barocco,Portrait of the court music master Nicholas Lanier(um 1630/32)
52,https://www.copia-di-arte.com/a/pierre-auguste-renoir/renoirforestpathc1875-2.html,Pierre-Auguste Renoir(1841  - 1919),Post-impressionismo,Renoir / Forest path / c.1875
53,https://www.copia-di-arte.com/a/david-teniers/the-reconciliation-of-rin.html,David Teniers(1610  - 1690),Barocco,The Reconciliation of Rinaldo and Armida(1836)
54,https://www.copia-di-arte.com/a/paul-cezanne/the-banks-of-the-marne.html,Paul Cézanne(1839  - 1906),Impressionismo,The Banks of the Marne(1888)
55,https://www.copia-di-arte.com/a/neal/boathousederwentwatercumb-1.html,Trevor  Neal,Arte concreta figurativa,"Boathouse, Derwentwater, Cumbria"
56,https://www.copia-di-arte.com/a/chardin-jean-baptiste/the-young-schoolmistress.html,Jean-Baptiste Siméon Chardin(1699  - 1779),Romanticismo,The Young Schoolmistress(1740)
57,https://www.copia-di-arte.com/a/alfred-sisley-1/the-loing-canal-and-the-c.html,Alfred Sisley(1839  - 1899),Impressionismo,The Loing Canal and the Church at Moret(1886)
58,https://www.copia-di-arte.com/a/pierre-joseph-redoute/camelliaredout-2-1.html,Pierre Joseph Redouté(1759  - 1840),Classicismo,Camellia / Redouté
59,https://www.copia-di-arte.com/a/edvard-munch/mdchenaufdempier.html,Edvard Munch(1863  - 1944),Espressionismo,Girls on the pier
60,https://www.copia-di-arte.com/a/franz-xaver-winterhalter/portrait-of-napoleon-iii.html,Franz Xaver Winterhalter(1805  - 1873),Classicismo,Portrait of Napoleon III (1808-73)
61,https://www.copia-di-arte.com/a/adlington/wildboartrotting.html,Mark  Adlington,Arte concreta figurativa,Wild Boar Trotting
62,https://www.copia-di-arte.com/a/lovis-corinth/portrait-of-dr-edward-mey.html,Lovis Corinth(1858  - 1925),Espressionismo,Portrait of Dr Edward Meyer(1911)
63,https://www.copia-di-arte.com/a/rembrandt-van-rijn/nacktefrauaufeinerbank.html,Rembrandt van Rijn(1606  - 1669),Barocco,Nackte Frau auf einer Bank
64,https://www.copia-di-arte.com/a/gerard-francois-pascal/portrait-of-napoleon-1769-1.html,François Pascal Simon Gérard(1770  - 1837),Classicismo,Portrait of Napoleon (1769-1821) in Uniform
65,https://www.copia-di-arte.com/a/travers/greencornerbend.html,Michael Travers,Arte Figurativa astratta,green corner bend
66,https://www.copia-di-arte.com/a/lovis-corinth/blickaufdenkhlbrand.html,Lovis Corinth(1858  - 1925),Espressionismo,
67,https://www.copia-di-arte.com/a/james-jacques-tissot/jtissottrystatariversidec.html,James Jacques Tissot(1836  - 1902),Arte Vittoriana,"J.Tissot, Tryst at a Riverside Cafe"
68,https://www.copia-di-arte.com/a/travers/silverchristmas.html,Michael Travers,Arte Figurativa astratta,silver christmas
69,https://www.copia-di-arte.com/a/pierre-joseph-redoute/rosa-gallica-agatha-proli.html,Pierre Joseph Redouté(1759  - 1840),Classicismo,Rosa Gallica Agatha Prolifera
70,https://www.copia-di-arte.com/a/adlington/magnificentfallowbuck.html,Mark  Adlington,Arte concreta figurativa,Magnificent Fallow Buck
71,https://www.copia-di-arte.com/a/cranach-il-vecchio/christusamlberg-13.html,Lucas Cranach il Vecchio(1472  - 1553),Rinascimento,The Agony in the Garden
72,https://www.copia-di-arte.com/a/peter-paul-rubens/sceneofloveorthegallantco.html,Peter Paul Rubens(1577  - 1640),Barocco,"Scene of Love or, The Gallant Conversation"
73,https://www.copia-di-arte.com/a/cranach-il-vecchio/katharinenaltarlinkerflgeldieheiligendorotheaagnes.html,Lucas Cranach il Vecchio(1472  - 1553),Rinascimento,"Altarpiece with the Martyrdom of Saint Catharine, left wing: The Saints Dorothea, Agnes and Cunigund(1506)"
74,https://www.copia-di-arte.com/a/leonardo-da-vinci/eindracheattakierteinenlw.html,Leonardo da Vinci(1452  - 1519),Rinascimento,Ein Drache attakiert einen Löwen.
75,https://www.copia-di-arte.com/a/caspar-david-friedrich/rovine-eldena.html,Caspar David Friedrich(1774  - 1840),Romanticismo,Rovine Eldena(um 1825)
76,https://www.copia-di-arte.com/a/tiziano-vercellio/allegory-of-the-ages.html, Tiziano (alias Tiziano Vercellio)(ca. 1488  - 1576),Rinascimento,Allegory of the ages(1510)
77,https://www.copia-di-arte.com/a/edvard-munch/sommernacht_die_stim.html,Edvard Munch(1863  - 1944),Espressionismo,
78,https://www.copia-di-arte.com/a/john-constable/the-valley-of-the-stour.html,John Constable(1776  - 1837),Romanticismo,The Valley of the Stour
79,https://www.copia-di-arte.com/a/neal/frenchpatio2006oilonboard.html,Trevor  Neal,Arte concreta figurativa,"French Patio, 2006 (oil on board) "
80,https://www.copia-di-arte.com/a/alfred-sisley-1/on-the-bank-of-the-river.html,Alfred Sisley(1839  - 1899),Impressionismo,On the bank of the river Loing in SaintMammès.(1885)
81,https://www.copia-di-arte.com/a/paul-gauguin/selbstbildnismitmanaotupa.html,Paul Gauguin(1848  - 1903),Post-impressionismo,Self-portrait w. Manao Tupa.
82,https://www.copia-di-arte.com/a/travers/musicnoteclean.html,Michael Travers,Arte Figurativa astratta,music note clean
83,https://www.copia-di-arte.com/a/caspar-david-friedrich/boehmische-landschaft-mit.html,Caspar David Friedrich(1774  - 1840),Romanticismo,Boehmische Landschaft mit dem Milleschauer(1808)
