,image_link,artists,art_movement,title
0,https://www.copia-di-arte.com/a/franz-marc/dancer.html,Franz Marc(1880  - 1916),Espressionismo,Dancer(1913)
1,https://www.copia-di-arte.com/a/egon-schiele/portrait-erich-lederer.html,Egon Schiele(1890  - 1918),Espressionismo,Portrait Erich Lederer(1912)
2,https://www.copia-di-arte.com/a/armitage-1/dianthusandscabious.html,Karen  Armitage,Arte concreta figurativa,Dianthus and scabious 
3,https://www.copia-di-arte.com/a/flohic-philippe/nude-8.html,Philippe Flohic(1966 ),Arte concreta figurativa,Nude 8(2005)
4,https://www.copia-di-arte.com/a/david-teniers/bauernkirmes.html,David Teniers(1610  - 1690),Barocco,(Um 1665)
5,https://www.copia-di-arte.com/a/paul-gauguin/oviri-3.html,Paul Gauguin(1848  - 1903),Post-impressionismo,
6,https://www.copia-di-arte.com/a/paul-cezanne/mdchenamklaviertannhuser-ouvertre.html,Paul Cézanne(1839  - 1906),Impressionismo,Girl at the Piano (Overture to Tannhauser)
7,https://www.copia-di-arte.com/a/wassily-kandinsky/kleineweltenviii.html,Wassily Kandinsky(16. Dezember 1866  - 13. Dezember 1944),Espressionismo,Small Worlds VIII(1922)
8,https://www.copia-di-arte.com/a/ernst-ludwig-kirchner/japanischestheater.html,Ernst Ludwig Kirchner(1880  - 1938),Espressionismo,
9,https://www.copia-di-arte.com/a/linke/ophelia-udo-linke.html,Udo Linke(1957 ),Arte Figurativa astratta,Ophelia(2019)
10,https://www.copia-di-arte.com/a/nicolas-poussin/maryappearstojamesthegrea.html,Nicolas Poussin(1594  - 1665),Classicismo,Mary appears to James the Great/ Poussin
11,https://www.copia-di-arte.com/a/lovis-corinth/italienierinimgelbenstuhl.html,Lovis Corinth(1858  - 1925),Espressionismo,
12,https://www.copia-di-arte.com/a/charles-le-brun/similarities-between-the.html,Charles Le Brun(1619  - 1690),Barocco,"Similarities Between the Head of a Wolf and a Man, from 'Livre de portraiture pour ceux qui commence"
13,https://www.copia-di-arte.com/a/jacob-philipp-hackert/pompejiausgrabungen.html,Jacob Philipp Hackert(1737  - 1807),Classicismo,
14,https://www.copia-di-arte.com/a/dean-1/head2000wconhandmadeindia.html,Graham  Dean,Arte astratta figurativa,"Head, 2000 (w/c on handmade Indian paper) "
15,https://www.copia-di-arte.com/a/pierre-joseph-redoute/rosa-indica-vulgaris-engr.html,Pierre Joseph Redouté(1759  - 1840),Classicismo,"Rosa Indica Vulgaris, engraved by Bessin, from 'Les Roses', Vol II(1821 oured)"
16,https://www.copia-di-arte.com/a/egon-schiele/portrtdeskomponistenarthurlwenstein.html,Egon Schiele(1890  - 1918),Espressionismo,Portrait of the composer Arthur Löwenstein(1909)
17,https://www.copia-di-arte.com/a/wassily-kandinsky/dameninreifrcken.html,Wassily Kandinsky(16. Dezember 1866  - 13. Dezember 1944),Espressionismo,Damen in Reifröcken(1918)
18,https://www.copia-di-arte.com/a/gruenewald-mathias/altar-raked-second-show-s.html,Mathias (Mathis Gothart) Grünewald(um 1475  - 1528),Rinascimento,"Altar raked second show side, middle picture, for Isenheimer for half: The virgin in the landscape"
19,https://www.copia-di-arte.com/a/bonnard-pierre/schneebaelle.html,Pierre Bonnard(1867  - 1947),Post-impressionismo,Snowballs(1891)
20,https://www.copia-di-arte.com/a/ernst-ludwig-kirchner/pantomimeiii.html,Ernst Ludwig Kirchner(1880  - 1938),Espressionismo,
21,https://www.copia-di-arte.com/a/william-turner/hornby-castle.html,William Turner(1775  - 1851),Romanticismo,Hornby Castle
22,https://www.copia-di-arte.com/a/joseph-karl-stieler/caroline-graefinholnstein.html,Joseph Karl Stieler(1781  - 1858),Romanticismo,Caroline Gräfin Holnstein(1834)
23,https://www.copia-di-arte.com/a/schinkel-karl-friedrich/schloamstrom-1.html,Karl Friedrich Schinkel(1781  - 1841),Classicismo,Schloß am Strom(1820)
24,https://www.copia-di-arte.com/a/unsinn-romed/verschoben.html,Romed Unsinn(1966 ),Arte Figurativa astratta,Verschoben(2012)
25,https://www.copia-di-arte.com/a/paul-gauguin/badende-11.html,Paul Gauguin(1848  - 1903),Post-impressionismo,Bathers
26,https://www.copia-di-arte.com/a/travers/businessfuturered.html,Michael Travers,Arte Figurativa astratta,business future red
27,https://www.copia-di-arte.com/a/elliot-1/mortlakebrewerysw14theold.html,Sophia  Elliot,Arte concreta figurativa,"Mortlake Brewery (SW14, The Old Ship) 2005 (pastel on paper) "
28,https://www.copia-di-arte.com/a/easton/corneroftheherbgardenoilo.html,Timothy  Easton,Arte concreta figurativa,Corner of the Herb Garden (oil on canvas) 
29,https://www.copia-di-arte.com/a/pierre-joseph-redoute/hyacinthredout-2.html,Pierre Joseph Redouté(1759  - 1840),Classicismo,Hyacinth / Redouté
