,image_link,artists,art_movement,title
0,https://www.copia-di-arte.com/a/scuola-inglese/three-prize-pigs-outside.html, Scuola Inglese(18th century ),Arte Vittoriana,Three Prize Pigs outside a Sty
1,https://www.copia-di-arte.com/a/chardin-jean-baptiste/chardinthebilliardmatch-2.html,Jean-Baptiste Siméon Chardin(1699  - 1779),Romanticismo,Chardin / The Billiard Match
2,https://www.copia-di-arte.com/a/feuerbach-anselm/paoloundfrancesca-3.html,Anselm Feuerbach(1829  - 1880),Classicismo,Paolo und Francesca(Um 1864)
3,https://www.copia-di-arte.com/a/rembrandt-van-rijn/portrtvonmargarethadegeerfraudesjacobstrip.html,Rembrandt van Rijn(1606  - 1669),Barocco,"Portrait of Margaretha de Geer, Wife of Jacob Trip(1661)"
4,https://www.copia-di-arte.com/a/ernst-ludwig-kirchner/interno.html,Ernst Ludwig Kirchner(1880  - 1938),Espressionismo,Interno(1914)
5,https://www.copia-di-arte.com/a/claude-joseph-vernet/the-ponte-rotto-rome.html,Claude Joseph Vernet(1714  - 1789),Classicismo,"The Ponte Rotto, Rome"
6,https://www.copia-di-arte.com/a/ernst-ludwig-kirchner/pista-da-gioco-nella-neve.html,Ernst Ludwig Kirchner(1880  - 1938),Espressionismo,Pista da gioco nella neve(1924/26)
7,https://www.copia-di-arte.com/a/pierre-auguste-renoir/zweimdchenamklavier.html,Pierre-Auguste Renoir(1841  - 1919),Post-impressionismo,Young Girls at the Piano(1892)
8,https://www.copia-di-arte.com/a/seligman/manandchildii-1.html,Lincoln  Seligman,Arte concreta figurativa,Man and Child II
9,https://www.copia-di-arte.com/a/gruenewald-mathias/the-st-antonius-abad-side.html,Mathias (Mathis Gothart) Grünewald(um 1475  - 1528),Rinascimento,The St. Antonius Abad. Side wing of the Isenheimer altar.
10,https://www.copia-di-arte.com/a/lovis-corinth/eduard-krueger.html,Lovis Corinth(1858  - 1925),Espressionismo,Eduard Krüger(1912)
11,https://www.copia-di-arte.com/a/jacques-louis-david/portraitofalphonseleroy.html,Jacques Louis David(1748  - 1825),Classicismo,Portrait of Alphonse Leroy
12,https://www.copia-di-arte.com/a/william-turner/wturnersailorsgettingpigs.html,William Turner(1775  - 1851),Romanticismo,"W.Turner, Sailors Getting Pigs on Board"
13,https://www.copia-di-arte.com/a/jean-louis-gericault/marie-de-medici-in-pont-d.html,Jean Louis Théodore Géricault(1791  - 1824),Romanticismo,Marie de Medici in Pont-de Ce(1810)
14,https://www.copia-di-arte.com/a/travers/rockconcerttall.html,Michael Travers,Arte Figurativa astratta,rock concert tall
15,https://www.copia-di-arte.com/a/william-blake/iisaak-newton.html,William Blake(1757  - 1827),Arte Vittoriana,IIsaak Newton(1795)
16,https://www.copia-di-arte.com/a/claude-monet/port-goulpharbelle-le.html,Claude Monet(1840  - 1926),Impressionismo,"Port-Goulphar, Belle-Île(1887)"
17,https://www.copia-di-arte.com/a/david-teniers/two-boors-drinking-panel.html,David Teniers(1610  - 1690),Barocco,Two Boors drinking (panel)
18,https://www.copia-di-arte.com/a/claude-monet/mountkolsaas.html,Claude Monet(1840  - 1926),Impressionismo,Mount Kolsaas
19,https://www.copia-di-arte.com/a/bonnard-pierre/der_strand_bei_ebbe.html,Pierre Bonnard(1867  - 1947),Post-impressionismo,Der Strand bei Ebbe (Ebbe bei Arcachon)(1920)
20,https://www.copia-di-arte.com/a/adlington/suncrocheneville.html,Mark  Adlington,Arte concreta figurativa,"Sun, Crocheneville"
